temperature,humidity,ph,rainfall,crop,yields,area,state,pressure,cost of_production 
20.87974371,82.00274423,6.502985292,202.9355362,rice,2200,2900,ARIYALUR,1007.1,1941.55
21.77046169,80.31964408,7.038096361,226.6555374,rice,43700,41700,ARIYALUR,1007.8,2172.46
23.00445915,82.3207629,7.840207144,263.9642476,rice,700,700,ARIYALUR,1008.7,1898.3
26.49109635,80.15836264,6.980400905,242.8640342,rice,600,500,ARIYALUR,1012.8,3670.54
20.13017482,81.60487287,7.628472891,262.7173405,rice,33500,42500,ARIYALUR,1006,2775.8
23.05804872,83.37011772,7.073453503,251.0549998,rice,1200,2300,ARIYALUR,1005.4,2539.47
22.70883798,82.63941394,5.70080568,271.3248604,rice,100,100,ARIYALUR,1008.2,2003.76
20.27774362,82.89408619,5.718627178,241.9741949,rice,200,400,ARIYALUR,1010.1,2509.99
24.51588066,83.5352163,6.685346424,230.4462359,rice,1100,1300,ARIYALUR,1003.6,2179.26
23.22397386,83.03322691,6.336253525,221.2091958,rice,7200,14400,ARIYALUR,1005.7,2127.35
26.52723513,81.41753846,5.386167788,264.6148697,rice,1700,2000,ARIYALUR,1008.7,1691.66
23.97898217,81.45061596,7.50283396,250.0832336,rice,9400,9000,ARIYALUR,1004.2,1551.94
26.80079604,80.88684822,5.108681786,284.4364567,rice,121400,96000,ARIYALUR,993,1882.68
24.01497622,82.05687182,6.98435366,185.2773389,rice,26300,12200,ARIYALUR,1001.8,2277.68
25.66585205,80.66385045,6.94801983,209.5869708,rice,100,100,ARIYALUR,1008.7,1559.04
24.28209415,80.30025587,7.042299069,231.0863347,rice,14300,200,ARIYALUR,1010.3,3484.01
21.58711777,82.7883708,6.249050656,276.6552459,rice,35500,24300,ARIYALUR,1010.4,2554.91
23.79391957,80.41817957,6.970859754,206.2611855,rice,181500,154900,ARIYALUR,1002.2,2358
21.8652524,80.1923008,5.953933276,224.5550169,rice,1000,600,ARIYALUR,1009.7,1918.92
23.57943626,83.58760316,5.85393208,291.2986618,rice,50000,2300,ARIYALUR,1017.1,3207.35
21.32504158,80.47476396,6.442475375,185.4974732,rice,48,7000,ARIYALUR,1014.8,404.43
25.15745531,83.11713476,5.070175667,231.3843163,rice,114500,75300,ARIYALUR,1008.1,581.69
21.94766735,80.97384195,6.012632591,213.3560921,rice,6800,9300,ARIYALUR,1005.7,658.77
21.0525355,82.67839517,6.254028451,233.1075816,rice,39000,600,ARIYALUR,1008.2,1387.36
23.48381344,81.33265073,7.375482851,224.0581164,rice,2100,1200,ARIYALUR,1010.1,840.58
25.0756354,80.52389148,7.778915154,257.0038865,rice,3100,3300,ARIYALUR,1007.6,2614.14
26.35927159,84.04403589,6.286500176,271.3586137,rice,43700,37300,ARIYALUR,1003.6,2068.67
24.52922681,80.54498576,7.070959995,260.2634026,rice,65200,28500,ARIYALUR,1001.7,5777.48
20.77576147,84.49774397,6.244841491,240.0810647,rice,293100,178800,ARIYALUR,1004.2,2228.97
22.30157427,80.64416466,6.043304899,197.9791215,rice,900,700,ARIYALUR,1003.4,2261.24
